"RepNum","GeneID","V1.1","V1.2","V1.3","V1.4","V1.5","V1.6","V1.7","V1.8","V1.9","V1.10"
1,"1_1",0.668276714158323,0.54668672875796,0.54802291993974,0.630750268808537,0.612749552965298,0.424084371285746,0.545497377040498,0.444541587641194,0.383809233883201,0.545120698726546
2,"1_1",0.550394079661803,0.589356891903061,0.43390507236664,0.457301798121952,0.54221078114289,0.503571714289607,0.566987869639621,0.483229576249942,0.525273179938732,0.554858350637257
3,"1_1",0.737802145867662,0.46834567883192,0.739275413862995,0.584751278524797,0.800963813814325,0.510916962057576,0.537643069107714,0.528448069513941,0.655853749282427,0.451073285101979
4,"1_1",0.837329596907441,0.68483330832021,0.669894416756081,0.565693391874509,0.725050923441637,0.599970798067405,0.71540796314372,0.491058776684462,0.575236835822847,0.478492184821514
1,"1_2",0.584873653596448,0.524044027054973,0.539276628466452,0.631785519065918,0.556620230413965,0.542841513950101,0.602414247181173,0.428516095715763,0.601818514414486,0.509394873906927
2,"1_2",0.407669390242013,0.43943772623944,0.55416555876647,0.462098362294534,0.487081722762524,0.41280700849888,0.494026758647599,0.457503901758078,0.366899028098635,0.503583829051991
3,"1_2",0.318414521150229,0.173381018167843,0.304646746658092,0.352734062191534,0.358713342689018,0.243480529182799,0.451004272758363,0.386110405969127,0.484080055567095,0.359506669775527
4,"1_2",0.435225161790492,0.526668291707427,0.652623720418506,0.538491429065649,0.628544905081991,0.482449698104945,0.46216958776724,0.6934917770297,0.526287774838644,0.695839706274302
1,"1_3",0.177795106883054,0.530235786000949,0.408607626680554,0.265228891608817,0.430362586161588,0.379035859019942,0.503754658710445,0.552079490767641,0.44546402347134,0.415569886220861
2,"1_3",0.415418663299375,0.550332304139115,0.44799806595374,0.571954801527835,0.49884456272657,0.430461846768916,0.552101781083835,0.631480829518895,0.473559523368997,0.457177340604956
3,"1_3",0.695626665942426,0.778749436420504,0.625381069992979,0.551922945527518,0.673290378946885,0.577508535947314,0.589584692612674,0.545589203529258,0.593589601801289,0.566997155258647
4,"1_3",0.516634767224534,0.489975714069911,0.570284799106907,0.459354176930628,0.554387539076946,0.635751868111025,0.455235536529278,0.451111110649309,0.451469062313777,0.338036034525709
1,"1_4",0.32982275201311,0.26626898401948,0.389146658402467,0.384355825702594,0.473317496095498,0.37912534708538,0.254322142917226,0.421629791137427,0.475813820674171,0.195458761476096
2,"1_4",0.271429091179587,0.761552526523937,0.514301301505807,0.68290403835937,0.356125903281952,0.609495924267062,0.569581859828508,0.517175037450653,0.653338846754893,0.470990776545529
3,"1_4",0.457306978389541,0.285575407907569,0.643721893266695,0.433404955093854,0.314980091376818,0.636576377719498,0.545886271452973,0.524010177220733,0.528901903788954,0.48789672492636
4,"1_4",0.155296865758478,0.455898845320286,0.225038966263739,0.292349413209254,0.311945932142749,0.408825746455355,0.412850747333334,0.231172730540727,0.30797429661604,0.397046807784419
1,"1_5",0.618836674586667,0.56237579935211,0.52074076335422,0.511940486281815,0.208758457291576,0.280667267551765,0.454968449932021,0.136929884060401,0.258602989212694,0.42138807668422
2,"1_5",0.316970494247102,0.476311971964306,0.457698148789892,0.553257992592261,0.277454843241142,0.549220779956883,0.380120015639259,0.302657255681035,0.441170956956876,0.384809639195917
